Waktu(s),ID_Agen,Tipe_Agen,ID_Edge,Fungsi_Edge
6.90,CyanCar.0,Vehicle,-E6,normal
6.90,RedCar.0,Vehicle,-E4,normal
6.90,Ped1.0,Pedestrian,:J5_c1,crossing
6.90,Ped2.0,Pedestrian,:J5_c0,crossing
7.00,CyanCar.0,Vehicle,-E6,normal
7.00,RedCar.0,Vehicle,-E4,normal
7.00,Ped1.0,Pedestrian,:J5_c1,crossing
7.00,Ped2.0,Pedestrian,:J5_c0,crossing
7.10,CyanCar.0,Vehicle,-E6,normal
7.10,RedCar.0,Vehicle,-E4,normal
7.10,Ped1.0,Pedestrian,:J5_c1,crossing
7.10,Ped2.0,Pedestrian,:J5_c0,crossing
7.20,CyanCar.0,Vehicle,-E6,normal
7.20,RedCar.0,Vehicle,-E4,normal
7.20,Ped1.0,Pedestrian,:J5_c1,crossing
7.20,Ped2.0,Pedestrian,:J5_c0,crossing
7.30,CyanCar.0,Vehicle,-E6,normal
7.30,RedCar.0,Vehicle,-E4,normal
7.30,Ped1.0,Pedestrian,:J5_c1,crossing
7.30,Ped2.0,Pedestrian,:J5_c0,crossing
7.40,CyanCar.0,Vehicle,-E6,normal
7.40,RedCar.0,Vehicle,-E4,normal
7.40,Ped1.0,Pedestrian,:J5_c1,crossing
7.40,Ped2.0,Pedestrian,:J5_c0,crossing
7.50,CyanCar.0,Vehicle,-E6,normal
7.50,RedCar.0,Vehicle,-E4,normal
7.50,Ped1.0,Pedestrian,:J5_c1,crossing
7.50,Ped2.0,Pedestrian,:J5_c0,crossing
7.60,CyanCar.0,Vehicle,-E6,normal
7.60,RedCar.0,Vehicle,-E4,normal
7.60,Ped1.0,Pedestrian,:J5_c1,crossing
7.60,Ped2.0,Pedestrian,:J5_c0,crossing
7.70,CyanCar.0,Vehicle,-E6,normal
7.70,RedCar.0,Vehicle,-E4,normal
7.70,Ped1.0,Pedestrian,:J5_c1,crossing
7.70,Ped2.0,Pedestrian,:J5_c0,crossing
7.80,CyanCar.0,Vehicle,-E6,normal
7.80,RedCar.0,Vehicle,-E4,normal
7.80,Ped1.0,Pedestrian,:J5_c1,crossing
7.80,Ped2.0,Pedestrian,:J5_c0,crossing
7.90,CyanCar.0,Vehicle,-E6,normal
7.90,RedCar.0,Vehicle,-E4,normal
7.90,Ped1.0,Pedestrian,:J5_c1,crossing
7.90,Ped2.0,Pedestrian,:J5_c0,crossing
8.00,CyanCar.0,Vehicle,-E6,normal
8.00,RedCar.0,Vehicle,-E4,normal
8.00,Ped1.0,Pedestrian,:J5_c1,crossing
8.00,Ped2.0,Pedestrian,:J5_c0,crossing
8.10,CyanCar.0,Vehicle,-E6,normal
8.10,RedCar.0,Vehicle,-E4,normal
8.10,Ped1.0,Pedestrian,:J5_c1,crossing
8.10,Ped2.0,Pedestrian,:J5_c0,crossing
8.20,CyanCar.0,Vehicle,-E6,normal
8.20,RedCar.0,Vehicle,-E4,normal
8.20,Ped1.0,Pedestrian,:J5_c1,crossing
8.20,Ped2.0,Pedestrian,:J5_c0,crossing
8.30,CyanCar.0,Vehicle,-E6,normal
8.30,RedCar.0,Vehicle,-E4,normal
8.30,Ped1.0,Pedestrian,:J5_c1,crossing
8.30,Ped2.0,Pedestrian,:J5_c0,crossing
8.40,CyanCar.0,Vehicle,-E6,normal
8.40,RedCar.0,Vehicle,-E4,normal
8.40,Ped1.0,Pedestrian,:J5_c1,crossing
8.40,Ped2.0,Pedestrian,:J5_c0,crossing
8.50,CyanCar.0,Vehicle,-E6,normal
8.50,RedCar.0,Vehicle,-E4,normal
8.50,Ped1.0,Pedestrian,:J5_c1,crossing
8.50,Ped2.0,Pedestrian,:J5_c0,crossing
8.60,CyanCar.0,Vehicle,-E6,normal
8.60,RedCar.0,Vehicle,-E4,normal
8.60,Ped1.0,Pedestrian,:J5_c1,crossing
8.60,Ped2.0,Pedestrian,:J5_c0,crossing
8.70,CyanCar.0,Vehicle,-E6,normal
8.70,RedCar.0,Vehicle,-E4,normal
8.70,Ped1.0,Pedestrian,:J5_c1,crossing
8.70,Ped2.0,Pedestrian,:J5_c0,crossing
8.80,CyanCar.0,Vehicle,-E6,normal
8.80,RedCar.0,Vehicle,-E4,normal
8.80,Ped1.0,Pedestrian,:J5_c1,crossing
8.80,Ped2.0,Pedestrian,:J5_c0,crossing
8.90,CyanCar.0,Vehicle,-E6,normal
8.90,RedCar.0,Vehicle,-E4,normal
8.90,Ped1.0,Pedestrian,:J5_c1,crossing
8.90,Ped2.0,Pedestrian,:J5_c0,crossing
9.00,CyanCar.0,Vehicle,-E6,normal
9.00,RedCar.0,Vehicle,-E4,normal
9.00,Ped1.0,Pedestrian,:J5_c1,crossing
9.00,Ped2.0,Pedestrian,:J5_c0,crossing
9.10,CyanCar.0,Vehicle,-E6,normal
9.10,RedCar.0,Vehicle,-E4,normal
9.10,Ped1.0,Pedestrian,:J5_c1,crossing
9.10,Ped2.0,Pedestrian,:J5_c0,crossing
9.20,CyanCar.0,Vehicle,-E6,normal
9.20,RedCar.0,Vehicle,-E4,normal
9.20,Ped1.0,Pedestrian,:J5_c1,crossing
9.20,Ped2.0,Pedestrian,:J5_c0,crossing
9.30,CyanCar.0,Vehicle,-E6,normal
9.30,RedCar.0,Vehicle,-E4,normal
9.30,Ped1.0,Pedestrian,:J5_c1,crossing
9.30,Ped2.0,Pedestrian,:J5_c0,crossing
9.40,CyanCar.0,Vehicle,-E6,normal
9.40,RedCar.0,Vehicle,-E4,normal
9.40,Ped1.0,Pedestrian,:J5_c1,crossing
9.40,Ped2.0,Pedestrian,:J5_c0,crossing
9.50,CyanCar.0,Vehicle,-E6,normal
9.50,RedCar.0,Vehicle,-E4,normal
9.50,Ped1.0,Pedestrian,:J5_c1,crossing
9.50,Ped2.0,Pedestrian,:J5_c0,crossing
9.60,CyanCar.0,Vehicle,-E6,normal
9.60,RedCar.0,Vehicle,-E4,normal
9.60,Ped1.0,Pedestrian,:J5_c1,crossing
9.60,Ped2.0,Pedestrian,:J5_c0,crossing
9.70,CyanCar.0,Vehicle,-E6,normal
9.70,RedCar.0,Vehicle,-E4,normal
9.70,Ped1.0,Pedestrian,:J5_c1,crossing
9.70,Ped2.0,Pedestrian,:J5_c0,crossing
9.80,CyanCar.0,Vehicle,-E6,normal
9.80,RedCar.0,Vehicle,-E4,normal
9.80,Ped1.0,Pedestrian,:J5_c1,crossing
9.80,Ped2.0,Pedestrian,:J5_c0,crossing
9.90,CyanCar.0,Vehicle,-E6,normal
9.90,RedCar.0,Vehicle,-E4,normal
9.90,Ped1.0,Pedestrian,:J5_c1,crossing
9.90,Ped2.0,Pedestrian,:J5_c0,crossing
10.00,CyanCar.0,Vehicle,-E6,normal
10.00,RedCar.0,Vehicle,-E4,normal
10.00,Ped1.0,Pedestrian,:J5_c1,crossing
10.00,Ped2.0,Pedestrian,:J5_c0,crossing
10.10,CyanCar.0,Vehicle,-E6,normal
10.10,RedCar.0,Vehicle,-E4,normal
10.10,Ped1.0,Pedestrian,:J5_c1,crossing
10.10,Ped2.0,Pedestrian,:J5_c0,crossing
10.20,CyanCar.0,Vehicle,-E6,normal
10.20,RedCar.0,Vehicle,-E4,normal
10.20,Ped1.0,Pedestrian,:J5_c1,crossing
10.20,Ped2.0,Pedestrian,:J5_c0,crossing
10.30,CyanCar.0,Vehicle,-E6,normal
10.30,RedCar.0,Vehicle,-E4,normal
10.30,Ped1.0,Pedestrian,:J5_c1,crossing
10.30,Ped2.0,Pedestrian,:J5_c0,crossing
10.40,CyanCar.0,Vehicle,-E6,normal
10.40,RedCar.0,Vehicle,-E4,normal
10.40,Ped1.0,Pedestrian,:J5_c1,crossing
10.40,Ped2.0,Pedestrian,:J5_c0,crossing
10.50,CyanCar.0,Vehicle,-E6,normal
10.50,RedCar.0,Vehicle,-E4,normal
10.50,Ped1.0,Pedestrian,:J5_c1,crossing
10.50,Ped2.0,Pedestrian,:J5_c0,crossing
10.60,CyanCar.0,Vehicle,-E6,normal
10.60,RedCar.0,Vehicle,-E4,normal
10.60,Ped1.0,Pedestrian,:J5_c1,crossing
10.60,Ped2.0,Pedestrian,:J5_c0,crossing
10.70,CyanCar.0,Vehicle,-E6,normal
10.70,RedCar.0,Vehicle,-E4,normal
10.70,Ped1.0,Pedestrian,:J5_c1,crossing
10.70,Ped2.0,Pedestrian,:J5_c0,crossing
10.80,CyanCar.0,Vehicle,-E6,normal
10.80,RedCar.0,Vehicle,-E4,normal
10.80,Ped1.0,Pedestrian,:J5_c1,crossing
10.80,Ped2.0,Pedestrian,:J5_c0,crossing
10.90,CyanCar.0,Vehicle,-E6,normal
10.90,RedCar.0,Vehicle,-E4,normal
10.90,Ped1.0,Pedestrian,:J5_c1,crossing
10.90,Ped2.0,Pedestrian,:J5_c0,crossing
11.00,CyanCar.0,Vehicle,-E6,normal
11.00,RedCar.0,Vehicle,-E4,normal
11.00,Ped1.0,Pedestrian,:J5_c1,crossing
11.00,Ped2.0,Pedestrian,:J5_c0,crossing
11.10,CyanCar.0,Vehicle,-E6,normal
11.10,RedCar.0,Vehicle,-E4,normal
11.10,Ped1.0,Pedestrian,:J5_c1,crossing
11.10,Ped2.0,Pedestrian,:J5_c0,crossing
11.20,CyanCar.0,Vehicle,-E6,normal
11.20,RedCar.0,Vehicle,-E4,normal
11.20,Ped1.0,Pedestrian,:J5_c1,crossing
11.20,Ped2.0,Pedestrian,:J5_c0,crossing
11.30,CyanCar.0,Vehicle,-E6,normal
11.30,RedCar.0,Vehicle,-E4,normal
11.30,Ped1.0,Pedestrian,:J5_c1,crossing
11.30,Ped2.0,Pedestrian,:J5_c0,crossing
11.40,CyanCar.0,Vehicle,-E6,normal
11.40,RedCar.0,Vehicle,-E4,normal
11.40,Ped1.0,Pedestrian,:J5_c1,crossing
11.40,Ped2.0,Pedestrian,:J5_c0,crossing
11.50,CyanCar.0,Vehicle,-E6,normal
11.50,RedCar.0,Vehicle,-E4,normal
11.50,Ped1.0,Pedestrian,:J5_c1,crossing
11.50,Ped2.0,Pedestrian,:J5_c0,crossing
11.60,CyanCar.0,Vehicle,-E6,normal
11.60,RedCar.0,Vehicle,-E4,normal
11.60,Ped1.0,Pedestrian,:J5_c1,crossing
11.60,Ped2.0,Pedestrian,:J5_c0,crossing
11.70,CyanCar.0,Vehicle,-E6,normal
11.70,RedCar.0,Vehicle,-E4,normal
11.70,Ped1.0,Pedestrian,:J5_c1,crossing
11.70,Ped2.0,Pedestrian,:J5_c0,crossing
11.80,CyanCar.0,Vehicle,-E6,normal
11.80,RedCar.0,Vehicle,-E4,normal
11.80,Ped1.0,Pedestrian,:J5_c1,crossing
11.80,Ped2.0,Pedestrian,:J5_c0,crossing
11.90,CyanCar.0,Vehicle,-E6,normal
11.90,RedCar.0,Vehicle,-E4,normal
11.90,Ped1.0,Pedestrian,:J5_w3,walkingarea
11.90,Ped2.0,Pedestrian,:J5_c0,crossing
12.00,CyanCar.0,Vehicle,-E6,normal
12.00,RedCar.0,Vehicle,-E4,normal
12.00,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.00,Ped2.0,Pedestrian,:J5_c0,crossing
12.10,CyanCar.0,Vehicle,-E6,normal
12.10,RedCar.0,Vehicle,-E4,normal
12.10,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.10,Ped2.0,Pedestrian,:J5_c0,crossing
12.20,CyanCar.0,Vehicle,-E6,normal
12.20,RedCar.0,Vehicle,-E4,normal
12.20,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.20,Ped2.0,Pedestrian,:J5_c0,crossing
12.30,CyanCar.0,Vehicle,-E6,normal
12.30,RedCar.0,Vehicle,-E4,normal
12.30,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.30,Ped2.0,Pedestrian,:J5_c0,crossing
12.40,CyanCar.0,Vehicle,-E6,normal
12.40,RedCar.0,Vehicle,-E4,normal
12.40,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.40,Ped2.0,Pedestrian,:J5_c0,crossing
12.50,CyanCar.0,Vehicle,-E6,normal
12.50,RedCar.0,Vehicle,-E4,normal
12.50,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.50,Ped2.0,Pedestrian,:J5_c0,crossing
12.60,CyanCar.0,Vehicle,-E6,normal
12.60,RedCar.0,Vehicle,-E4,normal
12.60,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.60,Ped2.0,Pedestrian,:J5_c0,crossing
12.70,CyanCar.0,Vehicle,-E6,normal
12.70,RedCar.0,Vehicle,-E4,normal
12.70,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.70,Ped2.0,Pedestrian,:J5_c0,crossing
12.80,CyanCar.0,Vehicle,-E6,normal
12.80,RedCar.0,Vehicle,-E4,normal
12.80,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.80,Ped2.0,Pedestrian,:J5_c0,crossing
12.90,CyanCar.0,Vehicle,-E6,normal
12.90,RedCar.0,Vehicle,-E4,normal
12.90,Ped1.0,Pedestrian,:J5_w3,walkingarea
12.90,Ped2.0,Pedestrian,:J5_c0,crossing
